b_units,0,30,54,78,phd
m_units,-1,0,24,48,phd
1,45235,50262,55279,60312,63324
2,47045,52273,57490,62725,65857
3,48926,54364,59790,65234,68491
4,50884,56538,62181,67843,71231
5,52919,58800,64669,70557,74080
6,55036,61152,67255,73379,77043
7,57237,63598,69946,76314,80125
8,59527,66142,72744,79367,83330
9,61908,68788,75653,82541,86663
10,64384,71539,78679,85843,90130
11,66959,74401,81827,89277,93735
12,69638,77377,85100,92848,97484
13,72423,80472,88504,96562,101384
14,75320,83691,92044,100424,105439
15,75320,83691,95725,104441,109657
16,75320,83691,95725,104441,109657
17,75320,83691,95725,104441,109657
18,75320,83691,95725,104441,109657
19,75320,83691,95725,104441,109657
20,75320,83691,95725,104441,109657
21,75320,83691,95725,104441,109657
22,75320,83691,95725,104441,109657
23,75320,83691,95725,104441,109657
24,75320,83691,95725,104441,109657
25,75320,83691,95725,104441,109657
26,75320,83691,95725,104441,109657
27,75320,83691,95725,104441,109657
28,75320,83691,95725,104441,109657
29,75320,83691,95725,104441,109657
30,75320,83691,95725,104441,109657
31,75320,83691,95725,104441,109657
32,75320,83691,95725,104441,109657
33,75320,83691,95725,104441,109657
34,75320,83691,95725,104441,109657
35,75320,83691,95725,104441,109657
36,75320,83691,95725,104441,109657
37,75320,83691,95725,104441,109657
38,75320,83691,95725,104441,109657
39,75320,83691,95725,104441,109657
40,75320,83691,95725,104441,109657
