b_units,0,45,60,75,90,105,phd
m_units,0,15,30,45,60,75,phd
1,58838,61779,64868,68112,71517,75093,75093
2,60456,63478,66652,69985,73484,77158,77158
3,62118,65224,68485,71910,75505,79280,79280
4,63826,67018,70369,73887,77581,81460,81460
5,65582,68861,72304,75919,79715,83701,83701
6,67385,70754,74292,78007,81907,86002,86002
7,69238,72700,76335,80152,84159,88367,88367
8,71142,74699,78434,82356,86474,90798,90798
9,73099,76754,80591,84621,88852,93294,93294
10,75109,78864,82808,86948,91295,95860,95860
11,77174,81033,85085,89339,93806,98496,98496
12,79297,83261,87425,91796,96386,101205,101205
13,81477,85551,89829,94320,99036,103988,103988
14,83718,87904,92299,96914,101760,106848,106848
15,83718,87904,94837,99579,104558,109786,109786
16,83718,87904,94837,99579,107433,112805,112805
17,83718,87904,94837,99579,110388,115907,115907
18,83718,87904,94837,99579,113424,119095,119095
19,83718,87904,94837,99579,116543,122370,122370
20,83718,87904,94837,99579,116543,122370,122370
21,83718,87904,94837,99579,116543,122370,122370
22,83718,87904,94837,99579,116543,122370,122370
23,83718,87904,94837,99579,116543,122370,122370
24,83718,87904,94837,99579,116543,122370,122370
25,83718,87904,94837,99579,116543,122370,122370
26,83718,87904,94837,99579,116543,122370,122370
27,83718,87904,94837,99579,116543,122370,122370
28,83718,87904,94837,99579,116543,122370,122370
29,83718,87904,94837,99579,116543,122370,122370
30,83718,87904,94837,99579,116543,122370,122370
31,83718,87904,94837,99579,116543,122370,122370
32,83718,87904,94837,99579,116543,122370,122370
33,83718,87904,94837,99579,116543,122370,122370
34,83718,87904,94837,99579,116543,122370,122370
35,83718,87904,94837,99579,116543,122370,122370
36,83718,87904,94837,99579,116543,122370,122370
37,83718,87904,94837,99579,116543,122370,122370
38,83718,87904,94837,99579,116543,122370,122370
39,83718,87904,94837,99579,116543,122370,122370
40,83718,87904,94837,99579,116543,122370,122370
