b_units,0,45,60,75,90,phd
m_units,-1,0,30,45,60,phd
1,57320,61261,64685,68113,71530,73612
2,60274,64224,67645,71067,74492,76574
3,63234,67176,70600,74025,77449,79531
4,66191,70140,73565,76983,80405,82487
5,69149,73096,76521,79941,83363,85445
6,72113,76058,79481,82907,86295,88377
7,75068,79013,82433,85860,89285,91367
8,78038,81974,85397,88821,92243,94325
9,80989,84934,88354,91777,95206,97288
10,83942,87885,91316,94742,98161,100243
11,86907,90849,94271,97698,101115,103197
12,86907,93803,97232,100655,104083,106165
13,86907,93803,100191,103613,107035,109117
14,86907,93803,100191,103613,107035,109117
15,86907,93803,100191,103613,107035,109117
16,86907,93803,100191,103613,107035,109117
17,89864,96764,103149,106572,109997,112079
18,89864,96764,103149,106572,109997,112079
19,89864,96764,103149,106572,109997,112079
20,89864,96764,103149,106572,109997,112079
21,92825,99729,106106,109524,112953,115035
22,92825,99729,106106,109524,112953,115035
23,92825,99729,106106,109524,112953,115035
24,92825,99729,106106,109524,112953,115035
25,95781,102682,109069,112492,115913,117995
26,95781,102682,109069,112492,115913,117995
27,95781,102682,109069,112492,115913,117995
28,95781,102682,109069,112492,115913,117995
29,95781,102682,109069,112492,115913,117995
30,98739,105637,112023,115448,118866,120948
31,98739,105637,112023,115448,118866,120948
32,98739,105637,112023,115448,118866,120948
33,98739,105637,112023,115448,118866,120948
34,98739,105637,112023,115448,118866,120948
35,98739,105637,112023,115448,118866,120948
36,98739,105637,112023,115448,118866,120948
37,98739,105637,112023,115448,118866,120948
38,98739,105637,112023,115448,118866,120948
39,98739,105637,112023,115448,118866,120948
40,98739,105637,112023,115448,118866,120948
